,start,tweet_count,sentimentscore,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime,UpperBB,LowerBB,volatility,rsi,macd,real_score,post_per_day
0,2018-01-01,90414,4.0875253386827,14112.200195,14112.200195,13154.700195,13657.200195,13657.200195,10291200000.0,10291200000.0,-455.0,-3.224,13641.36686,-0.03224,20532.876074458534,5012.581523181468,1290.4933900896356,46.25641657852342,95.01145277181058,0.1911867398768663,464.0
1,2018-01-02,125905,4.7212947059047,13625.0,15444.599609,13163.599609,14982.099609,14982.099609,16846600192.0,16846600192.0,1357.09961,9.96,14530.09961,0.0996,20514.23622532729,5368.125747312703,1018.066882361664,51.76500295935285,112.78243402771297,0.4760365233199405,594.0
2,2018-01-03,134825,6.096647788361,14978.200195,15572.799805,14844.5,15201.0,15201.0,16871900160.0,16871900160.0,222.79981,1.487,15206.09994,0.01487,20488.30323553923,5736.668737100769,883.3686209775169,52.62892606058258,142.88243703985427,0.6890648658080398,620.0
3,2018-01-04,126106,4.738479118322,15270.700195,15739.700195,14522.200195,15599.200195,15599.200195,21783199744.0,21783199744.0,328.5,2.151,15287.03353,0.02151,20492.88118970137,6063.437189178634,864.9642004314677,54.23471555162462,196.60202832241703,-0.1441551529882709,629.0
4,2018-01-05,115883,5.809623982020001,15477.200195,17705.199219,15202.799805,17429.5,17429.5,23840899072.0,23840899072.0,1952.29981,12.614,16779.16634,0.12614,20605.405339298908,6333.225441941087,1103.6231752975184,60.810538676726864,382.4563702865653,0.197948081921922,686.0
5,2018-01-06,90549,6.643630119197001,17462.099609,17712.400391,16764.599609,17527.0,17527.0,18314600448.0,18314600448.0,64.90039,0.372,17334.66667,0.00372,20694.316086009712,6637.035085870287,1299.7908623775213,61.1309332386672,531.4880470928183,0.1325615280055356,558.0
6,2018-01-07,99180,8.091246430676,17527.300781,17579.599609,16087.700195,16477.599609,16477.599609,15866000384.0,15866000384.0,-1049.70117,-5.989,16714.96647,-0.05989,20702.80015923148,6976.049000928522,1308.6741711494174,55.839440664801295,558.4810612960882,0.3175202774219826,483.0
7,2018-01-08,120441,3.7099608094017,16476.199219,16537.900391,14208.200195,15170.099609,15170.099609,18413899776.0,18413899776.0,-1306.09961,-7.927,15305.40007,-0.07927,20646.816272827426,7317.377262332577,1266.05336131233,50.028819285571934,468.96298340638896,0.4228339237177358,619.0
8,2018-01-09,131821,6.350530235981699,15123.700195,15497.5,14424.0,14595.400391,14595.400391,16659999744.0,16659999744.0,-528.2998,-3.493,14838.9668,-0.03493,20563.97028495386,7656.013679926144,1258.359032846305,47.680248674045416,347.6384778300544,0.216006098072166,648.0
9,2018-01-10,136463,3.7403228983487,14588.5,14973.299805,13691.200195,14973.299805,14973.299805,18500800512.0,18500800512.0,384.79981,2.638,14545.93327,0.02638,20465.754267682787,8030.311298757211,1246.8483070582438,49.36356894241766,278.76779591321065,0.6254594250040633,634.0
10,2018-01-11,156445,4.902282517107,14968.200195,15018.799805,13105.900391,13405.799805,13405.799805,16534099968.0,16534099968.0,-1562.40039,-10.438,13843.5,-0.10438,20329.47670359837,8372.678862841625,1319.86866033569,43.16053802552074,96.58970841809604,0.2157997531908042,711.0
11,2018-01-12,128308,6.7781878279007,13453.900391,14229.900391,13158.099609,13980.599609,13980.599609,12065699840.0,12065699840.0,526.69922,3.915,13789.5332,0.03915,20165.715013778143,8774.113736221854,1345.699312297617,45.84778371788526,-1.3901730144661997,0.0063564806338161,597.0
12,2018-01-13,101260,7.930690726249001,13952.400391,14659.5,13952.400391,14360.200195,14360.200195,12763599872.0,12763599872.0,407.7998,2.923,14324.03353,0.02923,19998.322727740648,9185.766412859348,1236.5084916975186,47.60937810127354,-47.85766672927093,0.0551002160018804,478.0
13,2018-01-14,93902,7.0886074067837,14370.799805,14511.799805,13268.0,13772.0,13772.0,11084099584.0,11084099584.0,-598.79981,-4.167,13850.59994,-0.04167,19838.99982522585,9544.332518494151,1261.3578798278386,45.15801578461695,-130.6403891356931,0.1475145866740274,400.0
14,2018-01-15,114365,4.9750778141000005,13767.299805,14445.5,13641.700195,13819.799805,13819.799805,12750799872.0,12750799872.0,52.5,0.381,13969.0,0.00381,19698.55834160712,9864.34400211288,1248.8833039293693,45.40403057810875,-190.19677821040204,0.5613684352130106,511.0
15,2018-01-16,165097,3.060424904492,13836.099609,13843.099609,10194.900391,11490.5,11490.5,18853799936.0,18853799936.0,-2345.59961,-16.953,11842.83333,-0.16953,19615.590230477406,10014.19812888259,1556.7054268111822,36.75208152078389,-420.5033720072788,-0.0518694902048435,1000.0
16,2018-01-17,209821,3.658889501546,11431.099609,11678.0,9402.290039,11188.599609,11188.599609,18830600192.0,18830600192.0,-242.5,-2.121,10756.29655,-0.02121,19556.75949977552,10118.220851744478,1812.7163633558112,35.799890219702135,-620.2341718765438,-0.1336272071132061,970.0
17,2018-01-18,150004,2.8412350674,11198.799805,12107.299805,10942.5,11474.900391,11474.900391,15020399616.0,15020399616.0,276.10059,2.465,11508.2334,0.02465,19472.59701791465,10265.834935165349,1949.2926588532105,37.45482031980487,-746.8114122769457,0.4042937178084779,628.0
18,2018-01-19,136143,3.148143974871,11429.799805,11992.799805,11172.099609,11607.400391,11607.400391,10740400128.0,10740400128.0,177.60059,1.554,11590.7666,0.01554,19402.50627346343,10390.87771089657,1847.523037507639,38.24818279302372,-826.901142935074,-0.0045525894685366,551.0
19,2018-01-20,105229,5.1316986105877005,11656.200195,13103.0,11656.200195,12899.200195,12899.200195,11801700352.0,11801700352.0,1243.0,10.664,12552.80013,0.10664,19335.951891164,10534.376116635998,1549.2663352124146,45.50577127422026,-777.1765755483084,0.3343543961252037,476.0
20,2018-01-21,97867,6.73054538085,12889.200195,12895.900391,11288.200195,11600.099609,11600.099609,9935179776.0,9935179776.0,-1289.10059,-10.001,11928.06673,-0.10001,19311.198643735726,10580.149364064278,1383.5123423980085,40.36760842116264,-832.993823623654,0.480190132643908,407.0
21,2018-01-22,124124,6.013900162517,11633.099609,11966.400391,10240.200195,10931.400391,10931.400391,10537400320.0,10537400320.0,-701.69922,-6.032,11046.00033,-0.06032,19331.22006165021,10544.45595398979,1375.801059593814,37.98977809189167,-920.576006045947,0.2235423487132777,595.0
22,2018-01-23,133165,5.6261143234827,10944.5,11377.599609,10129.700195,10868.400391,10868.400391,9660609536.0,9660609536.0,-76.09961,-0.695,10791.90007,-0.00695,19368.86701817526,10475.257005304737,1375.6503266384354,37.76408347111597,-983.7292714076212,0.3385033702126596,611.0
